s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,s97,s98,s99,s100,s101,s102,s103,s104,s105,s106,s107,s108,s109,s110,s111,s112,s113,s114,s115,s116,s117,s118,s119,s120,s121,s122,s123,s124,s125,s126,s127,label
17723.9277,17804.8066,17867.1738,17920.0977,17610.5059,17831.2051,17635.7129,17863.5625,17523.5762,17789.3145,17766.9609,17970.2344,17776.5176,17693.9258,17862.6641,17844.0566,17800.9883,17747.0723,17701.2344,17873.2793,17846.084,17662.084,17600.6289,17772.7676,17753.8242,17762.9727,17870.4336,17748.9082,17694.9844,17834.4102,17835.9746,17849.2168,17820.8789,17718.9785,17687.6328,17647.8359,17572.0371,17876.6113,17665.8926,17833.0918,17782.6641,17715.6797,17875.5781,17815.9844,17738.748,17821.707,17707.3496,17674.7793,17759.8516,17703.7812,17746.2656,17607.5391,17701.8418,17839.1133,17718.1992,17860.2832,17604.8691,17727.7676,17861.3496,17729.7812,17605.5586,17820.3535,17829.6895,17880.6484,17902.6973,17654.6758,17880.2676,17731.5059,17810.625,17787.002,17925.9414,17715.916,17680.4453,17749.293,17625.5918,17722.3496,17768.9453,17721.1738,17708.6152,17693.4648,17709.7031,17745.959,17849.3711,17677.832,17708.6348,17703.1797,17784.0703,17718.7793,17785.8047,17678.4199,17760.8125,17885.998,17798.6465,17762.9297,17783.75,17760.1113,17843.2539,17664.4297,17830.0137,17711.6152,17679.1797,17783.1152,17659.9297,17842.8047,17879.8652,17795.6172,17803.166,17870.7715,17776.9023,17679.0996,17839.6484,17840.3027,17748.3457,17836.3574,17872.084,17861.2754,17744.2949,17933.1973,17731.6035,17773.8613,17729.373,17956.2969,17830.8145,17820.5391,17757.6445,17879.3613,17684.9883,17833.9512,4
17635.8418,17792.0918,17729.7715,17752.9277,17765.1797,17833.7422,17681.8086,17604.6348,17716.1172,17741.2988,17765.4961,17619.0352,17862.7559,17676.9922,17708.373,17805.1465,17698.3691,17898.2383,17811.6133,17899.8203,17852.8203,17815.0352,17770.959,17854.6074,17883.6758,17828.1035,17866.0273,17619.9492,17749.0684,17695.3613,17733.4883,17923.0664,17829.9258,17780.7305,17697.6113,17654.1172,17865.1934,17806.4531,17744.0098,17838.793,17692.4238,17841.9277,17748.0664,17573.8086,17900.1484,17611.9648,17641.707,17776.5293,17762.748,17758.3887,17849.9609,17654.2109,17706.8828,17738.0059,17791.084,17659.293,17792.5918,17896.0645,17990.2246,17740.9609,17551.7031,17708.8828,17715.1367,17736.9355,17769.6348,17771.9434,17749.3437,17733.0352,17697.9258,17707.8203,17593.5,17767.0918,17805.9844,17769.1699,17856.9727,17776.3848,17790.0332,17676.5312,17757.4629,17632.1133,17791.2109,17821.9766,17901.6602,17647.6289,17837.5352,17760.7148,17876.2793,17762.0449,17739.7637,17711.8105,17702.6055,17804.584,17779.3633,17889.3105,17770.5215,17914.1562,17613.9316,17717.6934,17735.4961,17672.1992,17855.5957,17622.8613,17573.8301,17814.291,17789.6367,17967.293,17794.6445,17767.1465,17842.6758,17800.8691,17847.7012,17797.5059,17611.4336,17850.0059,17697.8848,17725.3301,17872.502,17760.5703,17694.3945,17796.6973,17728.418,17783.2676,17866.1836,17771.8496,17786.791,17813.4238,17753.2031,17766.623,4
17845.0918,17732.9043,17772.3848,17691.7266,17671.4375,17773,17662.4297,17758.4258,17720.5488,17620.9551,17933.8242,17750.7949,17775.6758,17703.2402,17818.1465,17827.127,17705.916,17771.2148,17743.291,17884.8809,17648.8008,17850.5488,17753.1328,17736.9668,17734.0742,17770.3418,17688.9473,17561.6855,17699.4043,17658.8516,17659.2305,17718.877,17747.0508,17788.5137,17864.1934,17693.1582,17690.1191,17732.2383,17585.1836,17820.8047,17739.4512,17862.6172,17785.2012,17882.4316,17659.3594,17756.6699,17843.6113,17851.3789,17721.0312,17821.2559,17708.5547,17678.9687,17776.5996,17769.1836,17844.6816,17837.0234,17827.3574,17808.6719,17736.9766,17828.7617,17706.6406,17672.1602,17738.2461,17630.0781,17710.2129,17869.0586,17854.25,17725.1035,17731.6035,17799.9648,17785.9219,17758.4844,17736.8477,17768.2383,17651.7324,17809.3496,17849.3145,17699.5254,17883.75,17772.1797,17730.0488,17824.1504,17803.5215,17724.6641,17865.1484,17743.793,17779.3594,17772.457,17833.2617,17810.4648,17825.0215,17908.3691,17660.8887,17786.0391,17685.1504,17618.1387,17746.0469,17773.8125,17864.0977,17690.7187,17761.2207,17735.8613,17862.4902,17777.5117,17701.082,17736.0781,17876.5059,17760.8965,17785.7129,17775.8945,17616.7012,17723.6465,17838.7559,17863.8965,17904.0527,17849.8359,17727.0605,17820.3008,17752.4766,17795.2344,17812.8398,17812.4863,17807.3555,17891.3105,17679.6914,17713.9883,17872.543,17657.9707,4
17658.8906,17797.8262,17826.2148,17687.4746,17733.0723,17750.248,17720.1973,17773.2969,17740.6758,17830.8672,17773.1934,17741.3711,17752.2285,17715.5898,17852.873,17687.3828,17790.2949,17765.6504,17583.0469,17589.4375,17762.3125,17719.1934,17714.0195,17788.9961,17812.168,17757.5312,17785.3418,17792.1621,17823.3809,17673.7051,17879.8652,17828.8457,17711.416,17744.7051,17855.4414,17754.3008,17758.5723,17811.2578,17725.8887,17742.7988,17789.0332,17900.9922,17973.8555,17783.2715,17680.2285,17754.4414,17953.2012,17901.6191,17665.7676,17651.8848,17786.4883,17921.7129,17854.2832,17840.6836,17692.6602,17766.0215,17844.0605,17722.9727,17507.5215,17868.3613,17758.875,17956.9629,17831.7871,17660.8809,17738.7891,17893.5176,17739.6992,17835.666,17771.5547,17684.5625,17685.1016,17814.2266,17712.7031,17696.4492,17555.3379,17665.8867,17708.248,17694.5117,17729.3301,17843.3906,17729.7559,17616.5547,17704.6875,17639.8633,17701.7871,17810.7734,17766.8477,17682.5371,17768.8945,17946.9453,17804.0996,17798.5566,17651.6543,17805.3457,17745.9102,17809.3184,17694.2949,17658.9785,17742.125,17790.959,17738.7598,17849.873,17670.9082,17600.2012,17805.3789,17752.2344,17753.9531,17640.0801,17738.6582,17653.1973,17672.2246,17769.2324,17714.084,17701.834,17688.0371,17692.5586,17682.0664,17763.2305,17475.6328,17739.5098,17839.3652,17799.043,17863.9922,17812.4141,17752.8086,17841.8906,17919.9141,17768.5605,4
17901.0645,17691.1016,17720.7285,17748.3281,17765.0566,17726.2227,17756.7031,17823.1641,17658.9531,17886.541,17772.4316,17651.0996,17795.1621,17582.9316,17741.6562,17744.791,17773.4785,17740.6133,17792.2441,17763.6797,17768.8379,17722.4219,17743.5469,17877.6484,17920.3887,17715.6621,17769.6953,17603.8965,17809.1602,17797.1699,17877.8223,17809.1504,17969.4844,17759.627,17832.2363,17833.8535,17714.041,17774.0859,17909.5566,17751.4551,17744.1113,17933.1973,17794.3613,17857.3437,17674.4121,17695.4004,17805.0684,17732.3477,17843.7812,17865.9785,17820.7109,17747.9531,17722.5508,17860.084,17868.1191,17912.1211,17768.1406,17713.0293,17681.2715,17717.8691,17770.9824,17678.6836,17855.7734,17788.6387,17591.1562,17830.5996,17739.0547,17807.8457,17767.1797,17760.0723,17899.6621,17526.459,17805.3594,17723.0625,17819.6094,17643.7285,17806.8047,17638.6895,17766.8203,17830.1035,17788.2617,17793.6836,17731.457,17765.9375,17621.0508,17711.6562,17709.7715,17777.4062,17812.3691,17583.3535,17811.8027,17870.3223,17820.1055,17779.4941,17886.9219,17763.9395,17646.3711,17758.8906,17776.8242,17785.6289,17769.6543,17683.9355,17750.8008,17740.7246,17701.3164,17733.7129,17771.834,17789.4727,17806.9629,17828.6016,17771.1855,17812.541,17635.5664,17793.791,17846.2168,17716.0547,17835.6992,17757.25,17809.9648,17760,17755.1543,17815.7344,17834.4512,17752.4141,17813.248,17743.7422,17935.3965,17933.4473,4
17801.5352,17724.7129,17773.8789,17649.4023,17747.2129,17699.0039,17865.5215,17790.6719,17715.5918,17934.1074,17751.8008,17672.5098,17798.4766,17762.6016,17752.082,17810.5996,17710.6309,17834.5293,17862.8633,17751.7422,17827.8691,17844.043,17786.416,17655.4902,17669.8086,17796.3672,17652.1719,17768.1055,17721.4609,17756.0586,17573.123,17669.5371,17814.1816,17706.7676,17852.4531,17633.9199,17605.584,17714.3887,17906.5176,17794.9316,17769.498,17854.8164,17775.7598,17950.5645,17729.502,17747.2578,17838.291,17875.8008,17745.1777,17880.5977,17790.0449,17923.6816,17787.0996,17598.4375,17688.1191,17749.2695,17734.6699,17672.0449,17835.6523,17761.6973,17622.3379,17855.168,17879.0254,17715.4102,17673.7168,17765.8711,17743.0117,17752.4766,17658.9531,17984.3574,17714.1719,17763.4629,17708.3262,17768.5508,17910.6445,17749.8164,17814.4805,17639.7539,17941.4219,17870.9805,17812.6445,17697.7305,17685.9922,17710.9004,17739.7012,17856.2988,17741.3105,17913.8555,17886.8437,17670.2461,17633.3027,17606.6953,17809.125,17747.6094,17796.8125,17725.6367,17979.1934,17764.707,17688.1973,17773.082,17658.2285,17721.6152,17814.2676,17811.7754,17774.2344,17798.1973,17760.3223,17724.9609,17854.2207,17762.6758,17791.1309,17769.168,17785.7832,17797.2109,17783.7656,17735.8652,17880.7305,17645.9473,17761.0937,17762.9727,17643.2969,17783.2129,17642.4258,17582.9609,17768.5273,17835.6992,17806.7598,17687.8008,4
17831.1895,17734.1836,17774.5527,17699.5762,17644.1602,17907.2051,17810.3184,17719.9043,17812.748,17768.0215,17621.1738,17924.0879,17710.9961,17777.9824,17871.6738,17751.8828,17831.9707,17668.209,17682.9023,17680.3652,17706.9883,17766.3809,17692.6035,17790.7734,17564.291,17842.9004,17617.0352,17743.7285,17739.8555,17852.2422,17866.0742,17817.6113,17830.666,17859.4043,17797.5996,17826.8906,17957.8242,17692.4766,17683.7187,17825.5898,17736.1113,17864.8633,17924.2578,17844.0664,17947.8125,17767.5566,17990.7246,17810.2539,17696.7266,17776.2344,17752.8926,17767.418,17798.2812,17855.6172,17747.0723,17828.2598,17590.9609,17586.2754,17706.8906,17712.668,17713.2734,17639.5059,17864.0742,17870.5059,17778.3594,17785.7402,17907.6289,17851.5527,17694.0098,17733.6465,17774.0918,17707.9473,17687.5566,17949.4199,17731.6992,17663.6855,17841.832,17823.3652,17773.877,17916.7051,17866.5098,17835.1816,17639.498,17692.5859,17857.2812,17692.8809,17935.6504,17804.9863,17980.1211,17747.2617,17716.1016,17669.1777,17844.3145,17656.7187,17910.9668,17862.1367,17691.2773,17665.6426,17575.9824,17815.4141,17828.2363,17749.584,17571.6738,17721.6641,17783.0898,17726.1738,17702.3809,17812.8047,17880.4043,17821.8418,17745.5098,17689.668,17852.5098,17745.2695,17834.0312,17996.4961,17753.0625,17750.498,17740.8945,17777.2598,17817.7383,17672.375,17710.6641,17655.3379,17726.4453,17713.8066,17772.3867,17671.5156,4
17582.0195,17562.1582,17745.1367,17616.1719,17742.6895,17772.2754,17721.502,17797.9492,17604.5137,17734.0156,17774.5352,17788.4961,17669.5352,17699.877,17832.2656,17966.9746,17920.041,17751.7656,17590.3652,17700.3027,17864.1992,17804.041,17828.4004,17755.5605,17813.9434,17593.041,17835.5195,17734.6934,17698.9551,17631.1562,17806.2695,17701.2656,17712.5078,17759.9512,17769.7637,17866.6426,17711.7109,17862.4668,17764.8828,17879.1465,17621.7734,17776.5449,17747.4941,17875.3281,17770.9941,17797.8672,17856.8359,17676.0625,17789.8086,17646.625,17654.8672,17672.125,17844.8047,17716.0293,17938.9844,17742.7402,17809.4785,17777.4844,17781.1621,17872.4141,17823.3262,17902.1641,17672.207,17808.123,17759.1621,17659.7461,17849.5332,17821.1953,17749.3711,17900.0039,17700.3828,17741.4121,17686.9531,17804.8672,17895.8477,17768.8848,17710.1289,17825.834,17754.1836,17753.8633,17832.4082,17982.8906,17786.3848,17752.4766,17737.957,17674.4316,17841.6191,17698.3535,17806.9082,17689.7832,17710.9199,17799.5859,17947.1152,17726.0449,17807.1543,17759.9414,17873.5859,17872.9668,17759.7461,17861.9004,17750.3613,17714.4785,17772.8789,17777.5937,17765.2051,17787.6836,17833.1504,17730.2109,17838.2773,17890.6289,17611.1543,17866.5078,17759.7031,17859.4883,17789.2715,17829.25,17724.3125,17781.2168,17682.9785,17824.9941,17749.707,17847.6523,17937.0254,17876.1699,17716.7559,17720.7227,17806.7598,17753.5234,4
17789.3555,17675.3535,17718.6172,17800.5117,17794.4062,17766.4492,17825.2305,18029.7715,17750.3086,17940.7871,17635.8066,17636.4082,17766.5352,17873.7539,17705.0703,17810.957,17833.2305,17776.4629,17806.3437,17655.793,17788.3457,17741.4961,17773.7461,17846.873,17935.1875,17858.5957,17706.0703,17697.0957,17886.2773,17750.459,17750.7891,17749.2969,17816.8594,17815.8828,17737.9004,17669.625,17805.3203,17664.0742,17735.9375,17772.0176,17693.0117,17794.2773,17524.957,17720.2344,17606.832,17730.5039,17745.8379,17753.0586,17756.2871,17765.0547,17826.0781,17772.709,17790.0156,17825.2383,17844.8457,17706.4609,17825.584,17645.3301,17914.0625,17763.748,17848.5254,17830.5059,17759.877,17714.2793,17701.2949,17698.5996,17748.9102,17842.3086,17660.8555,17749.8398,17816.0859,17742.7773,17703.7148,17724.7168,17605.0215,17738.7246,17771.7832,17770.2344,17670.5586,17605.4258,17553.7832,17811.916,17813.9043,17803.7598,17862.9414,17695.5859,17836.8652,17721.748,17827.3945,17581.2812,17830.7148,17774.7949,17854.166,17817.6094,17745.6758,17851.7812,17880.8633,17791.5449,17834.6543,17731.2773,17820.5254,17808.8926,17661.4648,17803.832,17784.5469,17775.9531,17669.1016,17732.8027,17640.0781,17805.207,17834.7109,17599.8828,17868.8711,17728.2441,17683.0957,17693.5742,17786.5117,17748.209,17896.709,17860.7461,17760.8906,17732.4141,17827.1543,17726.1328,17790.5898,17784.8418,17766.6855,17827.6445,4
17680.2832,17633.5312,17748.2891,17782.2441,17714.9121,17653.7305,17708.6758,17842.9961,17879.5215,17832.5742,17860.1543,17780.5586,17774.3437,17795.3984,17802.6641,17833.8086,17847.7559,17761.4512,17720.3047,17811.6621,17763.2949,17771.6211,17716.873,17652.3652,17863.3437,17776.8301,17738.0781,17811.5918,17637.5078,17643.1152,17666.916,17682.1445,17945.7676,17626.1914,17820.5781,17734.5664,17800.6953,17830.5215,17804.209,17836.5352,17822.1094,17774.3613,17822.4863,17849.3555,17727.1289,17767.5527,17684.1387,17875.709,17844.3145,17650.4648,17964.3398,17765.5801,17901.8457,17718.6016,17812.2051,17738.9258,17533.6406,17768.9863,17670.1328,17754.1914,17792.9961,17756.5488,17811.334,17836.0645,17961.3984,17721.166,17762.707,17717.6055,17932.252,17797.0449,17643.6953,17554.9785,17741.0742,17828.6621,17753.3066,17696.1426,17818.9863,17902.541,17772.2305,17813.8555,17816.3574,17764.293,17670.9727,17754.7793,17654.3965,17620.1699,17723.0195,17780.2129,17771.3965,17902.6133,17772.6738,17763.7324,17580.1309,17609.0195,17735.4277,17744.4102,17818.8828,17722.0977,17880.7227,17719.7109,17760.3945,17695.5078,17902.6484,17835.9687,17762.2324,17672.6465,17901.1113,17849.9434,17756.9629,17803.4453,17686.7207,18016.7168,17890.1836,17745.1777,17568.1426,17701.043,17597.8242,17789.7812,17708.9551,17782.1367,17757.373,17713.707,17683.5332,17785.1934,17712.8066,17753.7734,17763.4355,17886.7988,4
